lang,key,rate,ev_survival,ev_kept,ev_total,gpt_kept
en,https://en.wikinews.org/wiki/U.S._President_arrives_in_Singapore::1,0.33,0.45454545454545453,5,11,0.3037974683544304
en,https://en.wikibooks.org/wiki/Lucid_Dreaming/Introduction::2,0.33,0.2916666666666667,7,24,0.3113207547169811
en,https://en.wikinews.org/wiki/Canadian_professional_wrestler_Luna_Vachon_dies_aged_48::1,0.33,0.5,5,10,0.29411764705882354
en,https://en.wikinews.org/wiki/La_La_Land_receives_record-equalling_fourteen_Oscar_nominations;_Hacksaw_Ridge_gets_six::1,0.33,0.2222222222222222,2,9,0.3148148148148148
en,https://en.wikinews.org/wiki/Huge_Gay_Pride_parade_held_in_Brazil::1,0.33,0.2777777777777778,5,18,0.32142857142857145
en,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Egyptians::2,0.33,0.45454545454545453,5,11,0.3008130081300813
en,https://en.wikivoyage.org/wiki/Travel_in_developing_countries::2,0.33,0.46153846153846156,6,13,0.30303030303030304
en,https://en.wikivoyage.org/wiki/Water::1,0.33,0.5,7,14,0.2903225806451613
en,https://en.wikinews.org/wiki/Golf_and_rugby_set_to_return_to_the_Olympic_Games::2,0.33,0.2,4,20,0.3018867924528302
en,https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Training::1,0.33,0.3333333333333333,5,15,0.29508196721311475
en,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Hebrews::1,0.33,0.3076923076923077,4,13,0.2876712328767123
en,https://en.wikinews.org/wiki/Saturn%27s_moon_Titan_hosts_liquid_lakes_and_rivers::2,0.33,0.36666666666666664,11,30,0.3246753246753247
en,https://en.wikinews.org/wiki/Toronto_team-led_research_on_Type_1_Diabetes_%27groundbreaking%27::1,0.33,0.23076923076923078,3,13,0.32673267326732675
en,https://en.wikibooks.org/wiki/Animal_Behavior/Population_Genetics::2,0.33,0.375,6,16,0.2857142857142857
en,https://en.wikinews.org/wiki/Edmonton_prison_conflict_wounds_eight::2,0.33,0.26666666666666666,4,15,0.3644859813084112
en,https://en.wikinews.org/wiki/Burning_debris_from_satellites_spotted_over_several_US_cities::1,0.33,0.8333333333333334,5,6,0.3333333333333333
en,https://en.wikibooks.org/wiki/The_Seven_Wonders_of_the_World/The_Temple_of_Artemis::2,0.33,0.2727272727272727,3,11,0.30708661417322836
en,https://en.wikibooks.org/wiki/American_Revolution/The_Declaration_of_Independence::1,0.33,0.25,4,16,0.36363636363636365
en,https://en.wikinews.org/wiki/Italy_arrests_reputed_Mafia_boss_Lo_Piccolo::2,0.33,0.35,7,20,0.3384615384615385
en,https://en.wikivoyage.org/wiki/Hostels::1,0.33,0.42857142857142855,3,7,0.28888888888888886
en,https://en.wikinews.org/wiki/8.0_magnitude_earthquake_occurs_near_Tonga::2,0.33,0.2777777777777778,5,18,0.29411764705882354
en,https://en.wikinews.org/wiki/UK_threat_level_reduced_to_%27severe%27::1,0.33,0.5,4,8,0.28205128205128205
en,"https://en.wikinews.org/wiki/Crossing_guard_killed_by_truck_in_Glasgow,_Scotland::1",0.33,0.391304347826087,9,23,0.3163265306122449
en,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Space_exploration::1,0.33,0.25,3,12,0.3020833333333333
